iter	Passed	Remaining
897	7709	875
898	7717	867
899	7726	858
900	7734	849
901	7744	841
902	7753	832
903	7762	824
904	7769	815
905	7778	807
906	7787	798
907	7797	790
908	7807	781
909	7815	773
910	7825	764
911	7834	755
912	7844	747
913	7853	738
914	7863	730
915	7874	722
916	7882	713
917	7891	704
918	7899	696
919	7908	687
920	7917	679
921	7927	670
922	7937	662
923	7946	653
924	7956	645
925	7964	636
926	7973	627
927	7981	619
928	7990	610
929	7998	602
930	8006	593
931	8013	584
932	8022	576
933	8030	567
934	8039	558
935	8046	550
936	8055	541
937	8063	532
938	8072	524
939	8079	515
940	8089	507
941	8097	498
942	8106	489
943	8114	481
944	8123	472
945	8132	464
946	8140	455
947	8149	447
948	8166	438
949	8180	430
950	8191	422
951	8200	413
952	8208	404
953	8216	396
954	8224	387
955	8233	378
956	8241	370
957	8250	361
958	8257	353
959	8266	344
960	8273	335
961	8281	327
962	8289	318
963	8298	309
964	8307	301
965	8315	292
966	8323	284
967	8332	275
968	8340	266
969	8348	258
970	8356	249
971	8364	240
972	8372	232
973	8381	223
974	8388	215
975	8397	206
976	8404	197
977	8412	189
978	8420	180
979	8428	172
980	8436	163
981	8444	154
982	8452	146
983	8461	137
984	8469	128
985	8477	120
986	8485	111
987	8494	103
988	8501	94
989	8509	85
990	8516	77
991	8524	68
992	8532	60
993	8540	51
994	8548	42
995	8555	34
996	8564	25
997	8571	17
998	8579	8
999	8587	0
